name|count
consolidated|0.000273073387922
dissolution|0.000155950201145
dynamic|0.00136064482703
yellow|0.000626009162546
obstruction|0.000103966800763
prefix|0.000145658785987
nursery|0.00072896569036
heliocentric|5.78478305203e-05
parameterization|0.000825399787261
centimeter|0.000145658785987
spectral band|5.78478305203e-05
feeding|0.00130641272024
brackish|0.000221155227104
electricity|0.00134702745414
metamorphic|0.000145658785987
batholith|5.78478305203e-05
halogen|5.78478305203e-05
immature|0.000103966800763
sinking|0.00019421171465
risk|0.00456460155257
downstream|0.000845056813729
propane|0.00023894302137
desirable|0.000322036320834
activation|0.000230594851215
regional|0.00839029283014
amorphous|0.000230594851215
pigment|0.00443210778584
lignite|0.000863885415885
upstream|0.000563403532099
alpine|9.35018339684e-05
vibrational|5.78478305203e-05
synergy|0.000155950201145
loess|5.78478305203e-05
solution|0.00149148814838
humidity|0.000662833230931
vector|0.00121519425671
succession|0.000322832791701
straight|0.000145658785987
methane|0.00104661804271
glassy|5.78478305203e-05
force|0.00169167338254
zinc|0.00697721404376
consistent|0.00547073175469
potential density|0.000231391322081
direct|0.00321108263489
approximation|0.000155950201145
second|0.00403134777851
subordinate|0.000582635143949
flood plain|0.000173543491561
even|0.00331883553832
trapping|0.000230594851215
parkland|5.78478305203e-05
thunder|0.000103966800763
reconstruction|0.00145254699177
chromosphere|5.78478305203e-05
resilient|0.00101412635778
new|0.0153689872264
net|0.00285851407999
hydraulic conductivity|0.00031190040229
metadata|0.00255483446583
coefficient|0.000331074349643
niche|0.000145658785987
lithosphere|0.000145658785987
residual|0.000402545401043
ionization|0.000115695661041
deposition|0.00348094662954
protection|0.00269945915027
ethanol|0.00031190040229
boron|0.0034150798819
active|0.00254784175274
path|0.000920472613216
logarithmic|5.78478305203e-05
substance|0.000384196486713
electrolysis|5.78478305203e-05
baroclinic|5.78478305203e-05
permit|0.00624912080166
military|0.00117007866516
topography|0.000788764944939
secure|0.00160834520727
classification|0.0017455282325
discontinuous|0.000103966800763
county|0.000713644473992
visible|0.00168132493941
total|0.0124437795736
unit|0.00668603129268
plot|0.00134283153487
negative|0.00199783162536
equator|0.000426884985237
bedrock|0.000484638346654
calcium carbonate|0.000115695661041
assessment|0.00584432792131
calf|7.70015103269e-05
composite|0.00117837018832
electromagnetic induction|5.78478305203e-05
curvature|5.78478305203e-05
phone|0.00156594190386
warm|0.00234162734335
adult|0.000644982668682
biotic|0.000145658785987
electrical conductivity|0.000145658785987
flora|0.000103966800763
work|0.00832311706893
erg|5.78478305203e-05
era|0.000852476725602
transparency|0.00107226349677
henry|0.000103966800763
root|0.000486541499629
sinusoidal|5.78478305203e-05
energetic particle|5.78478305203e-05
honey|1.4292923124e-05
isothermal|5.78478305203e-05
validated|0.000279757759557
crystallized|0.000207933601527
proglacial|7.73290457585e-06
end|0.00501442278403
verify|0.000834839916645
very|0.00475198337332
hot|0.00186122775215
toxin|0.000173543491561
toxic|0.00092878914739
widespread|0.00081305256584
beach|0.00166153399328
aurora|0.000242764643312
offshore|0.00250394897045
massive|0.000668622359149
rise|0.00627380202692
description|0.00492137801597
pole tide|5.78478305203e-05
transforming|0.000145658785987
assimilated|0.00019421171465
after|0.0073756707912
grading|0.000957425778011
millimeter|0.000184475880972
meso|0.000145658785987
parallel|0.000630968598324
ablation|0.000571817404198
start time|5.78478305203e-05
fungi|0.000363883802671
aeolian|0.000103966800763
interglacial|0.000155950201145
green|0.00175645183425
correlation|0.00056356356146
less than or equal|0.000155950201145
scintillation|0.000230594851215
order|0.00683926594706
feedback|0.0019270416569
glacier retreat|2.04102431702e-05
barrier island|5.78478305203e-05
aerial photography|5.78478305203e-05
before|0.0045783067614
gravity wave|5.78478305203e-05
fit|0.00118883359338
directional|0.000207933601527
fix|0.000579380111876
production|0.0282830391244
CH4|0.000486541499629
environmental law|5.78478305203e-05
social activity|0.000145658785987
SAR|0.00122009295982
shear|0.000426884985237
fixation|0.000103966800763
enrich|0.00019421171465
safe|0.00187473785053
break|0.00091468413657
